timestamp,symbol,label,trend_score,osc_score,vol_score,pa_score,total_score,rsi,price,change_24h,quote_vol_24h,reasons
2025-11-22T15:57:53.071136,0GUSDT,STRONG_BUY,5,4,2,2,13,66.86624201404109,1.327,6.93,16940909.30219,"Trend: ADX=22.5 strong, DI+>DI-; Trend: Price>EMA20>EMA50 alignment; Trend: MACD hist positive; Osc: StochK=76.8 bullish; Osc: CCI=104.8 strong bullish"
2025-11-22T15:57:53.073135,WBTCUSDT,STRONG_BUY,2,3,3,1,9,48.653233596706194,83986.54,1.565,16923643.9301336,"Trend: ADX=16.0 moderate, DI+>DI-; Trend: MACD hist positive; Trend: Momentum(240.37) & AO(204.3438) bullish; Osc: RSI=48.7 in healthy zone; Osc: StochK=43.8 neutral"
2025-11-22T15:59:02.667165,ETHUSDT,STRONG_BUY,2,4,3,2,11,50.775546153852964,2735.42,1.07,1239936587.841725,Trend: Price>EMA20; Trend: MACD hist positive; Trend: Momentum(17.18) & AO(8.4954) bullish; Osc: RSI=50.8 in healthy zone; Osc: StochK=56.2 bullish
2025-11-22T15:59:02.667165,BNBUSDT,STRONG_BUY,2,3,3,2,10,49.523719404029265,822.57,1.078,205423859.38808,Trend: Price>EMA20; Trend: MACD hist positive; Trend: Momentum(4.96) & AO(0.6665) bullish; Osc: RSI=49.5 in healthy zone; Osc: StochK=53.7 bullish
2025-11-22T15:59:02.672717,DOGEUSDT,STRONG_BUY,2,4,3,1,10,50.37165374988314,0.13789,-0.072,196449831.63446,Trend: Price>EMA20; Trend: MACD hist positive; Trend: Momentum(0.00) & AO(0.0008) bullish; Osc: RSI=50.4 in healthy zone; Osc: StochK=58.1 bullish
2025-11-22T15:59:02.674905,LINKUSDT,STRONG_BUY,2,4,3,3,12,50.14199791042405,11.91,0.084,59267580.5376,Trend: Price>EMA20; Trend: MACD hist positive; Trend: Momentum(0.10) & AO(0.0460) bullish; Osc: RSI=50.1 in healthy zone; Osc: StochK=63.0 bullish
2025-11-22T15:59:02.677906,EURUSDT,STRONG_BUY,3,3,3,3,12,49.426018642891094,1.1507,-0.043,14398930.90699,"Trend: ADX=24.7 strong, DI+>DI-; Trend: Price>EMA20; Trend: MACD hist positive; Osc: RSI=49.4 in healthy zone; Osc: StochK=66.7 bullish"
2025-11-22T15:59:02.678906,SUPERUSDT,STRONG_BUY,4,4,2,0,10,53.05994387699142,0.1966,1.184,12488893.4235,"Trend: ADX=20.0 strong, DI+>DI-; Trend: Price>EMA20; Trend: MACD hist positive; Osc: RSI=53.1 in healthy zone; Osc: CCI=40.3 positive"
2025-11-22T15:59:02.680912,POLUSDT,STRONG_BUY,2,5,3,1,11,51.738477613425076,0.1318,-0.152,10112280.30708,Trend: Price>EMA20; Trend: MACD hist positive; Trend: Momentum(0.00) & AO(0.0011) bullish; Osc: RSI=51.7 in healthy zone; Osc: StochK=62.5 bullish
2025-11-22T17:27:39.895802,BTCUSDT,STRONG_BUY,3,5,2,1,11,57.95744358315651,84700.53,-0.506,1697959414.037286,"Trend: ADX=14.2 moderate, DI+>DI-; Trend: Price>EMA20>EMA50 alignment; Trend: MACD histogram positive; Trend: Momentum 206.13 & AO 479.1107 both bullish; Osc: RSI=58.0 in 45-65 healthy range (sustainable trend)"
2025-11-22T17:27:39.896990,USDCUSDT,STRONG_BUY,2,4,3,1,10,51.30012400543059,1.0004,-0.03,1067211182.8891,Trend: Price reclaimed EMA20 support; Trend: MACD histogram positive & rising; Trend: One of Momentum/AO turning positive; Osc: RSI=51.3 in 45-65 healthy range (sustainable trend); Osc: CCI=55.6 above zero
2025-11-22T17:27:39.898079,SOLUSDT,STRONG_BUY,3,4,2,1,10,58.124370331725885,128.09,-1.203,411282841.8605,"Trend: ADX=18.5 moderate, DI+>DI-; Trend: Price>EMA20>EMA50 alignment; Trend: MACD histogram positive; Trend: Momentum 0.92 & AO 1.3396 both bullish; Osc: RSI=58.1 in 45-65 healthy range (sustainable trend)"
2025-11-22T17:27:39.899086,BNBUSDT,STRONG_BUY,3,4,2,1,10,56.84849064376586,829.19,-0.39,178461249.41257,"Trend: ADX=16.8 moderate, DI+>DI-; Trend: Price>EMA20>EMA50 alignment; Trend: MACD histogram positive; Trend: Momentum 4.79 & AO 5.8516 both bullish; Osc: RSI=56.8 in 45-65 healthy range (sustainable trend)"
2025-11-22T17:27:39.900684,DOGEUSDT,STRONG_BUY,3,4,2,1,10,58.48018069128202,0.13948,-2.263,172642962.92113,"Trend: ADX=15.1 moderate, DI+>DI-; Trend: Price>EMA20>EMA50 alignment; Trend: MACD histogram positive; Trend: Momentum 0.00 & AO 0.0014 both bullish; Osc: RSI=58.5 in 45-65 healthy range (sustainable trend)"
2025-11-22T17:27:39.903194,ASTERUSDT,STRONG_BUY,2,4,2,1,9,54.48239348008357,1.177,-4.542,128935463.04801,Trend: Price reclaimed EMA20 support; Trend: MACD histogram positive; Trend: Momentum 0.02 & AO 0.0028 both bullish; Osc: RSI=54.5 in 45-65 healthy range (sustainable trend); Osc: CCI=118.2 strong bullish momentum
2025-11-22T17:27:39.904198,USDEUSDT,ULTRA_BUY,3,3,4,2,12,58.94417692959058,0.9994,0.02,66290727.628,Trend: Price>EMA20>EMA50 alignment; Trend: MACD histogram positive; Trend: Momentum 0.00 & AO 0.0000 both bullish; Trend: 1h EMA stack confirms uptrend; Osc: RSI=58.9 in 45-65 healthy range (sustainable trend)
2025-11-22T17:27:39.905222,WLFIUSDT,STRONG_BUY,4,3,2,2,11,70.67892392456699,0.1523,8.863,56793021.80587,"Trend: ADX=16.2 moderate, DI+>DI-; Trend: Price>EMA20>EMA50 alignment; Trend: MACD histogram positive; Trend: Momentum 0.01 & AO 0.0062 both bullish; Osc: CCI=143.0 strong bullish momentum"
2025-11-22T17:27:39.907757,ADAUSDT,STRONG_BUY,4,4,2,1,11,56.78859171627483,0.4026,-2.988,56314671.0586,"Trend: ADX=22.5 strong, DI+>DI-; Trend: Price reclaimed EMA20 support; Trend: MACD histogram positive; Trend: Momentum 0.00 & AO 0.0029 both bullish; Osc: RSI=56.8 in 45-65 healthy range (sustainable trend)"
2025-11-22T17:27:39.910339,LINKUSDT,STRONG_BUY,3,4,2,1,10,58.534155674284094,12.05,-1.873,52229067.567,"Trend: ADX=14.2 moderate, DI+>DI-; Trend: Price>EMA20>EMA50 alignment; Trend: MACD histogram positive; Trend: Momentum 0.08 & AO 0.1311 both bullish; Osc: RSI=58.5 in 45-65 healthy range (sustainable trend)"
2025-11-22T17:27:39.911354,LTCUSDT,STRONG_BUY,3,4,2,1,10,54.18875524844153,82.3,-1.93,41517484.35654,Trend: Price reclaimed EMA20 support; Trend: MACD histogram positive & rising; Trend: Momentum 0.34 & AO 0.1287 both bullish; Osc: RSI=54.2 in 45-65 healthy range (sustainable trend); Osc: CCI=123.7 strong bullish momentum
2025-11-22T17:27:39.913167,WIFUSDT,STRONG_BUY,3,5,2,1,11,56.425015343535904,0.328,-3.529,38728435.47696,"Trend: ADX=15.6 moderate, DI+>DI-; Trend: Price>EMA20>EMA50 alignment; Trend: MACD histogram positive; Trend: Momentum 0.00 & AO 0.0040 both bullish; Osc: RSI=56.4 in 45-65 healthy range (sustainable trend)"
2025-11-22T17:27:39.915172,KITEUSDT,ULTRA_BUY,4,5,3,0,12,50.358633029564906,0.1021,1.795,32730425.3763,"Trend: ADX=17.3 moderate, DI+>DI-; Trend: Price reclaimed EMA20 support; Trend: MACD histogram positive & rising; Trend: One of Momentum/AO turning positive; Osc: RSI=50.4 in 45-65 healthy range (sustainable trend)"
2025-11-22T17:27:39.916257,ICPUSDT,STRONG_BUY,3,5,3,3,14,49.76813298851649,4.115,-6.837,28217273.38283,"Trend: ADX=19.2 moderate, DI+>DI-; Trend: Price reclaimed EMA20 support; Trend: MACD histogram positive & rising; Osc: RSI=49.8 in 45-65 healthy range (sustainable trend); Osc: StochK=50.9 above 50 (bullish range)"
2025-11-22T17:27:39.918322,TAOUSDT,STRONG_BUY,4,4,2,1,11,56.36122193566238,271.9,-4.294,28199692.31471,"Trend: ADX=17.3 moderate, DI+>DI-; Trend: Price reclaimed EMA20 support; Trend: MACD histogram positive & rising; Trend: Momentum 1.40 & AO 1.6906 both bullish; Osc: RSI=56.4 in 45-65 healthy range (sustainable trend)"
2025-11-22T17:27:39.920319,HBARUSDT,STRONG_BUY,3,4,2,1,10,60.98239401679954,0.13046,-1.932,27087939.03375,"Trend: ADX=17.0 moderate, DI+>DI-; Trend: Price>EMA20>EMA50 alignment; Trend: MACD histogram positive; Trend: Momentum 0.00 & AO 0.0016 both bullish; Osc: RSI=61.0 in 45-65 healthy range (sustainable trend)"
2025-11-22T17:27:39.921754,WLDUSDT,STRONG_BUY,2,5,2,1,10,57.5745399716161,0.603,-2.269,26573147.6383,Trend: Price>EMA20>EMA50 alignment; Trend: MACD histogram positive; Trend: Momentum 0.00 & AO 0.0079 both bullish; Trend: 1h price above EMA20 (watching for alignment); Osc: RSI=57.6 in 45-65 healthy range (sustainable trend)
2025-11-22T17:27:39.924292,PAXGUSDT,STRONG_BUY,2,5,1,2,10,51.06129878921582,4060.23,-0.548,25198771.503319,"Trend: ADX=16.1 moderate, DI+>DI-; Trend: Price reclaimed EMA20 support; Trend: MACD histogram positive; Trend: One of Momentum/AO turning positive; Osc: RSI=51.1 in 45-65 healthy range (sustainable trend)"
2025-11-22T17:27:39.926300,AAVEUSDT,STRONG_BUY,3,4,2,1,10,57.62972559802217,158.96,0.455,21317603.50698,"Trend: ADX=16.3 moderate, DI+>DI-; Trend: Price>EMA20>EMA50 alignment; Trend: MACD histogram positive; Trend: Momentum 0.78 & AO 1.5569 both bullish; Osc: RSI=57.6 in 45-65 healthy range (sustainable trend)"
2025-11-22T17:27:39.928153,ALLOUSDT,STRONG_BUY,3,5,2,0,10,55.369995963307936,0.1644,-9.471,21139282.10516,Trend: Price reclaimed EMA20 support; Trend: MACD histogram positive & rising; Trend: Momentum 0.00 & AO 0.0010 both bullish; Osc: RSI=55.4 in 45-65 healthy range (sustainable trend); Osc: StochK=64.8 above 50 (bullish range)
2025-11-22T17:27:39.930128,CAKEUSDT,STRONG_BUY,4,4,2,1,11,63.39622560431975,2.193,5.84,20559250.71309,"Trend: ADX=21.9 strong, DI+>DI-; Trend: Price>EMA20>EMA50 alignment; Trend: Momentum 0.01 & AO 0.0870 both bullish; Trend: 1h price above EMA20 (watching for alignment); Osc: RSI=63.4 in 45-65 healthy range (sustainable trend)"
2025-11-22T17:27:39.931654,0GUSDT,STRONG_BUY,5,2,2,0,9,65.88111297688656,1.342,12.114,18685522.72713,"Trend: ADX=32.3 strong, DI+>DI-; Trend: Price>EMA20>EMA50 alignment; Trend: MACD histogram positive; Trend: Momentum 0.02 & AO 0.0816 both bullish; Osc: StochK=43.2 mid-range consolidation"
2025-11-22T17:27:39.933157,VIRTUALUSDT,STRONG_BUY,4,4,2,1,11,56.3564974887313,0.8856,-4.651,15885690.60202,"Trend: ADX=18.8 moderate, DI+>DI-; Trend: Price reclaimed EMA20 support; Trend: MACD histogram positive & rising; Trend: Momentum 0.01 & AO 0.0021 both bullish; Osc: RSI=56.4 in 45-65 healthy range (sustainable trend)"
2025-11-22T17:28:49.035594,AVAXUSDT,STRONG_BUY,2,4,2,1,9,53.27982759130715,13.25,-0.898,48367317.2526,Trend: Price reclaimed EMA20 support; Trend: MACD histogram positive; Trend: Momentum 0.01 & AO 0.0240 both bullish; Osc: RSI=53.3 in 45-65 healthy range (sustainable trend); Osc: CCI=70.8 above zero
2025-11-22T17:28:49.035594,TRUMPUSDT,STRONG_BUY,2,5,1,2,10,52.679812994495755,6.292,-0.459,18995052.441655,Trend: Price reclaimed EMA20 support; Trend: MACD histogram positive; Trend: Momentum 0.00 & AO 0.0062 both bullish; Osc: RSI=52.7 in 45-65 healthy range (sustainable trend); Osc: StochK=79.5 above 50 (bullish range)
2025-11-22T17:28:49.043089,ARBUSDT,STRONG_BUY,4,4,1,1,10,55.268924585601226,0.1997,-4.221,18536940.95054,"Trend: ADX=21.7 strong, DI+>DI-; Trend: Price reclaimed EMA20 support; Trend: MACD histogram positive; Trend: Momentum 0.00 & AO 0.0011 both bullish; Osc: RSI=55.3 in 45-65 healthy range (sustainable trend)"
